file_name,transcription,duration
tef_01033_00351357063.wav,ఈ వివాదం సెప్టెంబర్ రెండు వేల తొమ్మిదిన పరిష్కారమైనది,4.693
tef_02828_01625402654.wav,ఒక బ్యాంకు ఒక ప్రాథమిక పాఠశాల ఉన్నాయి,4.181
tef_08318_01333265498.wav,చాలా గొంగళి పురుగులు షాకాహారులే,3.072
tef_04830_00246502215.wav,ప్రిన్సిపాల్ ఒక మొమెంటోతో ప్రవేశించారు,3.328
tef_09281_02034334714.wav,ట్రూమాన్ లైబ్రరీ అండ్ మ్యూజియం,3.669
tef_05705_01311186783.wav,దాదాసాహెబ్ ఫాల్కే అవార్డు గ్రహీత శాంతారాం,5.888
tef_09281_00946816900.wav,స్పర్శ నాడులు,2.048
tef_08664_00744007281.wav,అతని కుమార్తెను దొంగలు అపహరిస్తారు\n,5.717
tef_08318_01575716683.wav,వీటి పేర్లుతో మొదలవుతాయి,2.56
tef_01908_00960972454.wav,అలాంటి వారిలో మహాత్మ కొడియార్ ఒకరు,4.608
tef_05994_01275158057.wav,అతని తల్లి కౌసల్య ఉంది,4.523
tef_04213_01746365047.wav,ఆ కారణంగా నాలో కోపం ప్రవేశించింది,3.584
tef_06625_02104584713.wav,ఈ సంబంధం రెండు వెలు తొమ్మిది ఫిబ్రవరిలో ముగిసింది,3.755
tef_03910_00385756616.wav,అమె కంఠం అత్యంత మధురం,3.925
tef_06928_00963145302.wav,ఏటా ఇక్కడ జాతర కూడా ఘనంగా నిర్వహిస్తారు,7.509
tef_03689_01559537619.wav,ఈయన కల్వకుంట్ల చంద్రశేఖరరావు కుమారుడు,6.485
tef_04830_00182200013.wav,పిన్ కోడ్ అయిదు లక్షలు ఎనిమిది వేల రెండు వందల నాలుగు,3.84
tef_05994_01671034440.wav,పైడిపుట్టిలో కుటుంబంతో సహా ఉండేవాడు,5.632
tef_08318_01517438909.wav,దేవగిరి యాదవరాజు అత్తిరాలను దర్శించినాడు,3.584
tef_05181_00076575597.wav,చంద్రహాస్ చరిత్ర పుస్తకం ఆర్కీవుఆర్గ్ లో\n,3.84
tef_07789_02119688704.wav,దీంతో తరతరాలుగా వీరు విద్యకు దూరమయ్యారు,3.925
tef_06566_00135743838.wav,ఆ వ్రతము పన్నెండు సంవత్సరములు చేయవలెను\n,3.669
tef_05994_01945384488.wav,తల నామవాచకంగా,3.755
tef_06625_00837868350.wav,దీని ముఖ్య విషయాలు పిల్లల మానసిక శాస్త్రము మరియు సామాజిక మానసిక శాస్త్రము,5.205
tef_05691_00530894701.wav,ఒరే కాంట్రాక్టర్ వెధవా,4.267
tef_03910_00788841995.wav,మొదట్లో సంకేతాల జాడే కనిపించలేదు,4.693
tef_01033_00768409265.wav,ప్రెస్ అకాడమీలో వెయ్యి తొమ్మిది వందల అరవై ఎనిమిది సంచిక\n,5.12
tef_05691_02058763596.wav,ఈ గ్రామానికి సిటి బస్సుల సౌకర్యం ఉంది,8.277
tef_05705_00960906212.wav,అయితే ఎండకు ఆ పసరు మంచులో కరిగిపోయింది,4.352
tef_08664_01995689451.wav,పుట్టింది నరసాపురం పశ్చిమ గోదావరి జిల్లా\n,4.608
tef_04830_00543058645.wav,ఈ కమిటీ యందు ఇరవై ఒకటి రాష్ట్ర పార్టీలుంటాయి,3.925
tef_07789_00502995418.wav,హైదరాబాదు నుండి వందా తొంభై రెండు కిలోమీటర్లు,3.413
