tem_07220_01981175708	దీనిని తటస్థీకరణము అందురు
tem_06359_01516502961	దీనిని స్కోరుగా అనువదిస్తారు
tem_02812_01868000938	రెండంతస్తుల భవనాలు పూర్తిగా నీట మునిగాయి
tem_08680_00300488472	పిన్ కోడ్ అయిదు లక్షలు అయిదు వేలు అయిదు వందలు ముప్పై ఒకటి
tem_02769_01899577322	ద్రవరూపంలోని మలినాలు తేమ వంటివి
tem_02812_01823000984	ఆంధ్రప్రదేశ్ రాష్ట్ర మాజీ ముఖ్యమంత్రి నందమూరి తారక రామారావు రెండవ భార్య నందమూరి లక్ష్మీపార్వతి
tem_04272_00085680040	ఊరిలో గల ముఖ్యమైన దేవాలయాలు వెంకటేశ్వర దేవాలయం మరియూ శివాలయం
tem_00682_01850053901	ఏమయ్య ఓ సంఘపోల్లు ఎక్కడ చూస్తే ఏమీ లేదు
tem_02812_01751042579	సావిత్రి కూడా నారదునికి నమస్కరించింది
tem_02812_00139977145	మేము దాన్ని కెలక్కూడదని ఇలా జరిగిందేమో
tem_09525_01277785783	మరియు యూరోప్ యాత్ర చేపడతానని చెప్పింది\n
tem_07220_01099248016	ఇక్కడ బౌద్ధమత సంస్కృతి ఎక్కువగా ఉంది
tem_07220_00848795094	అంతే కాక ఈ గ్రామంలో రామాలయం కలదు
tem_05425_00730751448	ఇంకనూ ఏదైనా సందేహం వస్తే ఖచ్చితంగా చర్చా పేజీలో వ్రాయండి
tem_03338_02137607119	ఇది నమ్మకానికి సంభందించిన సమస్య అంది
tem_00974_01661176726	అజ్మీర్ పట్టణం జిల్లాకేంద్రంగా ఉంది
tem_02812_01982547170	మద్రాసు నుండి వెలువడిన పత్రిక
tem_04272_00428634734	ఈ సినిమాకు మాటలు రాసింది మరో జ్ఞానపీఠ గ్రహీత నారాయణరెడ్డి
tem_04771_01991432192	పావు మైలులో
tem_06359_01531983402	పితోర్ ఘర్ నుండి ఇది పది కిలో మీటర్ల దూరం కలదు
tem_00113_01558669646	అయితే అది సిబ్బంది కొరతను ఎదుర్కొంది
tem_06359_00517155968	వృషణాలు ఇందుకొ తోడ్పడతాయి
tem_07220_00483682022	కెసీ మీడియా ప్రధాన ఆకర్షణగా మారారు
tem_08680_01559756401	అద్బుతం కాకపోయినా ఓకే అనిపిస్తుంది\n
tem_00974_00280931399	రుచి కూడా వికారం పుట్టిచ్చినట్లుండును
tem_02769_00296474841	దీంతో ఎవరినీ కలిసేది కాదామె
tem_07220_00400840482	భారతి మాస సంచిక
tem_02769_00301408224	నానీ కవితారూపం ఆత్మీయమైంది
tem_07220_01765851956	అడవిజంతువులతో పాటే సంచరిస్తూ
tem_05425_01030728048	ఇది కేవలం సారాంశం మాత్రమే పూర్తి పాఠం కోసం లైసెన్సు పాఠం చూడండి
tem_08377_01929069671	శ్రీ రామ నవమి కథ\n
tem_02769_01752319773	ఇది నగరానికి పడమటి వైపున ఉంది
tem_06359_00312043864	సూర్యగ్రహణమునకు సూర్యుని గ్రహించుట
tem_09222_01106409810	తాను చనిపోయితినా వేశ్యలందును పాలవించెదరు
tem_09222_00733859292	మధ్యప్రదేశ్ లోని ఒక గ్రామంలో ప్రాథమిక పాఠశాల
tem_04771_01654641202	నాలుగు వందల అడుగుల్లో
tem_03338_01483230363	త్రిగర్త దేశాధీసుడు ఉచితముగా చెప్పాడు
tem_03338_01025904842	శ్యామలను తన ఇంటికి తీసుకెళతాడు
tem_03338_01470131381	రవితనికెళ్ళ భరణి
tem_04272_00657356298	మన రాష్ట్రంలో ఇది ఒక్కటే వ్యవసాయ ఇంజనీరింగ్ కళాశాల
tem_02812_00294653918	అంటే ఏమిటి ఎలా వాడుతారు వాటిలో ప్రత్యేకత కొద్ది ఉదాహరణలు వగైరా
tem_03338_01941096516	వీటి వయస్సు ముప్పై ఏళ్ళు
tem_06359_01971913836	వాటిని మీకు చెప్తాను
tem_04272_01872258983	దీనిని వాడుకలో ఎక్కువగా జైలు అంటారు
tem_08680_01001425465	విశాఖపట్నం మండలం ఆంధ్ర ప్రదేశ్ రాష్ట్రములోని విశాఖపట్నం జిల్లాకు చెందిన ఒక మండలము\n
tem_03338_00681547785	గ్రామ విస్తీర్ణం తొమ్మిది వందలు నలభై హెక్టారులు
tem_02812_00668357133	సీలోనే తరగతినే ప్రథమ స్థానంలో నిలిచారు
tem_04272_01056506970	అలాగే బొమ్మ లైసెన్సు వివరాలు కూడా తెలుపండి
tem_08377_00915685977	చిన్నప్పటి నుంచి సంగీతమంటే తనకి ఆసక్తి\n
tem_09222_00066407673	టెస్టులలో అతని అత్యధిక స్కోరు డెబ్బై మూడు నాటౌట్\n
tem_05479_00587647738	ఈ గ్రామానికి సరి అయిన రవాణా సౌకర్యాలు లేవు\n
tem_09525_00669479992	లండన్ వెయ్యి తొమ్మిది వందల అరవై ఒకటి పే
tem_00682_01800107121	ఆ లక్ష్యంగా రచనా వ్యాసంగాన్ని ఆరంభించారు
tem_00682_01911958322	సరస్సు మరియు చెరువు తేడా ఏమిటి
tem_09525_01022436350	హేమవతి జలాశయం రిజర్వాయర్\n
tem_05479_01360206388	ముందుగా ద్రౌపదికి యోగసమాధి సడలింది\n
tem_00682_00391156956	అయినా ఏ మాత్రం ప్రతిస్పందన రాలేదు
tem_07220_01970083157	ధ్వజస్థంభం నీడ ఇళ్ళమీద పడకూడదు
tem_06359_02095984398	అందులో ఎక్కువమంది ఐర్లండుకు చెందినవారు
tem_00974_00409700007	చలన చిత్రముల చట్టము
tem_05425_00692767676	సంస్కృతం హిందూ బౌద్ధ మరియు జైన మతాలకు ప్రధాన భాష
tem_03338_00187986586	ఇది రెండు వరుసలలో దీపాలను కలిగి ఉంటుంది
tem_08680_01130710850	నాకు రుచికరంగా వంటలు చేయడం వచ్చు కదా\n
tem_09015_01138511866	ఆయనకు ఒక సోదరి మరియు ముగ్గురు సోదరులు
tem_04272_01256402520	పాలకొల్లు పేజీకి వెళ్ళి పైన ఉన్న మార్చు పైన క్లిక్ చేసి సమాచారం చేర్చవచ్చు
tem_05425_01311719749	ఈరోజు ఈయన మరణ వార్త ఈనాడు లో వచ్చింది
tem_03338_00343161536	పలు పార్లమెంటరీ కమిటీలలో కూడా పనిచేశాడు
tem_08680_00321962469	సావిత్రి కూడా నారదునికి నమస్కరించింది\n
tem_09525_01591815727	వాటి లింకుల కోసం ఏనుగు అయోమయ నివృత్తి చూడండి\n
tem_00682_01191966987	పంచాయత్ రాజ్ మంత్రిత్వ శాఖ వెబ్‌సైటులో వరంగల్ జిల్లా తాలూకాల వివరాలు
tem_00974_01149624936	వీటన్నిటి గురించి తరువాత నేర్చుకుందాం
tem_00682_01394503445	ఆ వ్యాసం పై కృషి చేసిన వారి వివరాలు
tem_09222_00694270015	పిన్ కోడ్ అయిదు వందల ముప్పై మూడు రెండు వందల అరవై మూడు
tem_04771_01662532024	వాయువ్యం వైపుగా
tem_00974_01957484368	పిన్ కోడ్ అయిదు లక్షలు తొమ్మిది వెలు రెండు వందలు రెండు
tem_08680_00388947726	కావున దీనిని తెల్లమద్ది అంటారు\n
tem_04272_00124637762	ఊరిలో పరిశ్రమల పరంగా మంచి అభివృద్ది కలదు
tem_06359_00453049957	ఈ సందర్భంలో ఒక కథ చెప్తాను
tem_03338_01250167855	అలాంటి సందర్బములొ చేప్పేది ఈ జాతీయము
tem_07220_01472160283	వీరిలో ప్రసిద్ధుడు ఖారవేలుడు
tem_05425_00014159320	కన్యాశుల్కం నాటకం గురజాడ అప్పారావు పంతులు రాసిన సాంఘిక నాటకం
tem_09584_00477354479	అతన్ని తన సహాయకునిగా పెట్టుకున్నారు
tem_09015_01547518375	పై నుండి సువిశాలమైన ప్రాంతం కనబడుతుంది
tem_08377_00606030132	రంగుల పట్టిక అయితే పేజీ కూడా అలాగే బాగుంటుంది\n
tem_02769_00629677581	పర్యాటక ఆకర్షణలలో జాంగ్ జలపాతం ఒకటి
tem_04771_00583583696	రాంప్‌కు స్వల్పంగా కుడివైపుకు వెళ్ళండి
tem_04272_01378706052	ఈ గ్రామంలో ఉత్పత్తి చేసిన పళ్ళు కూరగాయలు హైదరాబాదుకు సరఫరా చేస్తారు
tem_05479_00002904256	ఏమయినా సందేహాలుంటే తప్పక నా చర్చాపేజీలో రాయండి\n
tem_09222_02083044266	ప్రారంభ రోమన్ సైన్యం
tem_08680_00619659586	కవిత్వం కూడా రాశారు
tem_09015_00459612121	తులసి అనే పాప ఒక ఆస్తిపరుని కుమార్తె
tem_05479_02008461610	ఈయన తల్లితండ్రులు సింగమ మరియు మమనారాయణ\n
tem_09015_01130549347	బాలవంతి కథలో రాజుకు సంతానం కలగదు
tem_09222_00453971829	ఇరాన్ పురాతన సంగీతపరికరాలకు పుట్టిల్లు\n
tem_05479_01443991974	అందువలన ఈ ప్రాంతం కరొండ మండలం అయింది\n
tem_03338_01987197158	ఈ నిర్ణయం ఇంకా అమలులోకి రాలేదు
tem_08680_00857310612	వినదగు నెవ్వరు జెప్పిన
tem_09222_00143696373	ఇదే పేరుతో ఉన్న ఇతర ప్రాంతాల కొరకు వడ్డేపల్లి అయోమయ నివృత్తి చూడండి
tem_02812_00724719876	నాకు రుచికరంగా వంటలు చేయడం వచ్చు కదా
tem_08680_00921983494	ఈ ఘటనలు అతన్ని బాగా బాధిస్తాయి\n
tem_07220_01596808513	నేల సమతలంగా వుండాలి
tem_09584_00886976974	పిన్ కోడ్ అయిదు లక్షలు ఏడు వేలు మూడు వందలు ఒక
tem_09015_01103759630	అదిప్పుడు పునరుద్ధరించ బడుతున్నది
tem_00682_01226756504	మనం వాళ్ళను విడిచి పెట్టి తప్పు చేసాం
tem_06885_01602510897	ఈ పరిస్థితి తెలుగులోనే కాదు ఇంగ్లీషులో కూడా ఉంది
tem_00974_00214602362	విజయనగర సామ్రాజ్యం చాలా విశాలంగా ఉండేది
tem_05479_00809708946	మధ్యధరా ప్రాంతంచే చుట్టి వున్నది\n
tem_05425_01695255102	కన్నడ కర్ణాటక రాష్ట్ర అధికార భాష
tem_03338_00957191347	గున పట్టణం జిల్లాకేంద్రంగా ఉంది
tem_03338_01016186323	పంటలు సరిగా పండవు
tem_04272_00220587228	విస్తరణ అంటే కేవలం ఆంగ్ల వికీ అనువాదం కాదు
tem_08680_00260033804	వెలదులార ముదముమీర నలుగిడ రారే బృందంపధ్నాలుగు\n
tem_00974_01796656293	గీత తన పదవికి రాజీనామా చేస్తుంది
tem_05479_01671740903	అంతే గాని వారి అసమర్థతను బయట పెట్టరు\n
tem_02769_01915629255	సాక్షాత్తూ ప్లాటో అన్నాడా మాట
tem_00974_00059322050	ఆపేరు కాలక్రమంలో మురుడేశ్వర గా మారింది
tem_09015_02101549671	దారిలో శివుడు తుఫాను తెప్పిస్తాడు
tem_08680_00723182467	వీటివలనే వ్యాకరణము పుట్టెనని చెప్పుదురు\n
tem_00974_00646553082	ఆ వార్త విన్న ద్రౌపది వివశురాలవుతుంది
tem_09222_01967833668	పువ్వులకు సువాసన గలదు
tem_03338_00453286615	ఇదంతా చూసి విదురుడికి మనసు కలత చెందింది
tem_00682_01064209001	ఏమిటి ఎందుకు ఎలా అన్న విషయాలకు ప్రాధాన్యత ఇవ్వాలి
tem_00682_01777869519	గది తలుపు దానికదే మూసుకుంటుంది
tem_02769_00843676823	ఆ కంపెనీ క్రమంగా అభివృద్ధి చెందింది
tem_02769_01470972128	ఇఎమ్బిడిలో కోదండరామిరెడ్డి పేజీ
tem_09015_00662553986	ఆవుది సాత్త్విక స్వభావం
tem_07220_00701782684	కలికి కోపం వచ్చింది
tem_06582_00976746616	ప్రముఖ తెలుగు సినీ దర్శకుడు సత్యనారాయణ
tem_03338_00681341384	కుంతీ దేవి కుమారులతో ఇలా అన్నది
tem_06885_01088687923	అవన్నీ నాకు తెలుసు
tem_04272_00740984256	ఈ వూరికి ప్రక్క వూరు జగన్నాధపురంకు మధ్య ఒక కొండమీద నరసింహ స్వామి ఆలయం ఉంది
tem_09525_00407032736	పిన్ కోడ్ అయిదు లక్షల తొమ్మిది వేల మూడు వందల ముప్పై తొమ్మిది
tem_03338_00689406376	భళ్ళెం అని ధ్వని నిస్తాయి
tem_03338_00362309854	నేనెవరో నీకు తెలియజెప్తాను
tem_02812_01437256439	కడప జిల్లా ఆంధ్రప్రదేశ్ లోని జిల్లా
tem_06582_01533037633	కనుక అతడిని రక్షించుకోవడం నా కర్తవ్యం
tem_09015_01044647020	ఫిబ్రవరి పందొమ్మిదినే దాడికి సిద్ధపడ్డారు
tem_05425_02011761462	కాకినాడ ని రెండవ మద్రాసు అని పిలుస్తారు
tem_03338_00803101733	దీనికి పెద్దగా స్పందన రాలేదు
tem_00682_01703726192	దీని సవరణ ఋణాత్మకం
tem_09584_00020328055	కానీ ఏదీ కలిసి రాలేదు
tem_03338_00759484786	అంతే గాని వారి అసమర్థతను బయట పెట్టరు
tem_09015_01539226051	పాటలో పండు ముసలావిడ గొంతు
tem_02769_01340272492	ఇప్పుడు ప్రధాన హోం సెక్రటరీ
tem_05479_01879830193	కాళ్ళు మెల్లగా వెనుకకు వదలాలి\n
tem_05479_00156018398	అతడు కృష్ణుడిని కూడా వదల లేదు
tem_08680_02055448895	రెండు ప్రాజెక్ట్లు విజయవంతం అయినాయి\n
tem_09015_00431450673	దాంతో వివాహం ఆగి పోతుంది
tem_04771_01074131228	డేటా కనెక్షన్‌ను కోల్పోయారు
tem_03338_02005009393	ఆ పాలల్లో క్యాలరీలు అధికంగా ఉంటాయి
tem_04272_02069147614	ఇదే పేరుతో ఉన్న ఇతర ప్రాంతాల కొరకు వనపర్తి అయోమయ నివృత్తి చూడండి
tem_03338_00158786234	ద్రోణునికి ఎదురు నిలిచేవారు లేక పోయారు
tem_06359_01693758750	ఈ గ్రామం వెయ్యి తొమ్మిది వందలు మూడులో ఏర్పాటయినది
tem_09015_01888153985	తిరిగి లైట్ హౌస్ పనిచేయడం మొదలైంది
tem_09222_01502944770	పిన్ కోడ్ అయిదు వందల ముప్పై నాలుగు రెండు వందల నలభై అయిదు
tem_06359_00783768260	శరత్ బాబు రావు గోపాలరావు మేనల్లుడు
tem_05425_01765995560	కూచిపూడి లోను గుంటూరు లోను ప్రాథమిక విద్య జరిగింది
tem_00682_01877851709	దీనికి జవాబు అవును కాదు కూడాను అని ఇక్కడ ఇవ్వబడ్డాయి
tem_06582_00664603653	రా ఒక ప్రత్యేకమైన హోదా ఉన్న సంస్థ
tem_04272_01391266465	అలాగే ఇస్లాం లో కూడా నిబంధనలు ఉన్నాయి అవి ఐదు
tem_02812_00072355961	దీనిని తటస్థీకరణము అందురు
tem_09584_00468240103	ధనుర్విద్యలో తిరుగులేని మహావీరుడైనాడు
tem_00682_00243756495	అక్షరాస్యుల సంఖ్య ఇరవై రెండు వెలు అయిదు వందలు అరవై రెండు
tem_00682_01106362997	విజయవాడ ఆంధ్ర ప్రదేశ్ లోని ఒక వాణిజ్య రాజకీయ మరియు సాంస్కృతిక కేంద్రము
tem_04771_00022039022	కుడివైపు వెళ్ళండి
tem_04272_02050535504	పుట్టిన ఊరు మదనపల్లె చిత్తూరు జిల్లా
tem_05479_02094993354	ఈ వూరు హైదరాబాదు నగరంలో క్రాస్‌రోడ్ దగ్గరనుండి అరగంట ప్రయాణంలో చేరుకోవచ్చు\n
tem_02769_00516629729	క్రిటికల్ రివ్యూ ఇన్ టాక్సికాలజీ
tem_03338_01348402190	ఆర్య అంటే గొప్ప వంశస్థుడు అని అర్ధం
tem_09015_00304040943	శంబరుడు జటాసురుడి కొడుకు
tem_00974_00757486902	ఉరిశిక్షను జీవితఖైదుగా మార్చారు
tem_04272_01871756492	ఇది పౌరాణిక ప్రాముఖ్యత కలిగిన ప్రదేశాలలో ఇది ఒకటి
tem_00113_01469838299	సామాజిక బాధ్యత అలవడుతుంది
tem_06359_01798397878	రాజ్యానికి వారసులు లేక వారు చింతిచేవారు
tem_08680_00744934412	పేదల పక్షాన ఉచితంగా వాదించేవారు\n
tem_06359_00526830538	తర్వాత అతనితో యుద్ధానికి దిగాడు
tem_04771_00665050432	రెండు కిలోమీటర్‌లలో
tem_04272_00993890999	దీనిని ముంబాయి లో ఆస్ట్రేలియా పై సాధించాడు
tem_09222_01532715372	అమ్మవారి పేరు మాణిక్యాంబా దేవి
tem_05479_00064504053	మిగిలిన దేశమంతా కారపు బోండాలు తింటారు\n
tem_08377_01857271692	ఈ వారం వ్యాసం తయారు చేసినందుకు కృతజ్ఞతలు\n
tem_03338_01870439013	ఇది డీజెల్ లాంటి పదార్థం
tem_08680_01019341676	ఆమె వెయ్యి తొమ్మిది వందలు తొంభై అయిదు లో మరణించారు\n
tem_05479_00432475920	బౌద్ధులకు ఒక ప్రాముఖ్యమైన యాత్రాక్షేత్రం\n
tem_00682_00578939569	ఈ మూసలను చూడడానికి సభ్యుల పేజీ మూసలు చూడండి
tem_02812_00000441813	ప్రధాన పరీక్షలు టర్మ్ చివరలో ఉంటాయి
tem_08377_01154161418	దీనికి పెద్దగా స్పందన రాలేదు\n
tem_07220_00486031171	ఆవుల సాంబశివరావు పై ఈయన ప్రభావం ఉంది
tem_09222_01868970311	అదే శిల్ప విశేషము\n
tem_05425_00016231912	నేను తెలుగు సినిమా పాటలు పేజీని మొదలు పెట్టాను
tem_07220_02139883685	విషయం గాంధీజీ దాకా వెళ్ళింది
tem_03338_01264284838	అన్నీ చాల వరకు శిధిలమై ఉన్నవి
tem_09015_01042466913	అంతే రుచికరమైన వెజ్ మంచూరియన్ సిద్దం
tem_07220_00049619644	నేను నీ కూతురులాంటి దాన్ని
tem_03338_00407789311	మిగిలిన జిల్లా పోర్చుగీసు ఆధీనంలో ఉంది
tem_02812_01940132387	ఆయన ప్రధాన కార్యాలయం చత్రాలో ఉంది
tem_03338_00340316192	ఈ ప్రాంతం వరి ఉత్పత్తికి పేరుపొందింది
tem_02769_00517634859	పాండవులు మహాప్రస్థానం ప్రారంభించారు
tem_08377_01852854357	ఇది కాక మరో ఐదు విభాగాలు ఉన్నాయి\n
tem_00682_00297757184	ఆయన శిష్యులు ఆయన్ను మాస్టర్ అని పిలుచుకుంటుంటారు
tem_02769_00703465658	ధ్యానం చేసేటప్పుడు ప్రశాంతతను ఇస్తుంది
tem_09015_01987428612	తేలవేయు అనగా
tem_05425_00188686227	ఈ గ్రామము లో వరి ప్రధాన పంట
tem_02812_02005096293	హైదరాబాదు నుంచి తాండూర్ వెళ్ళు రోడ్డు మరియు రైలు మార్గములో ఈ పట్టణం ఉంది
tem_00974_00395324781	దాని బాయిలర్ లో దోషం కనబడింది
tem_00682_00105693326	అల్లుడు వైవిజయ తో ఉండటం మంగమ్మకు నచ్చదు
tem_04272_01205489943	గ్రామములో ఒక ప్రాథమిక పాఠశాల మరియు జిల్లా పరిషత్ ఉన్నత పాఠశాల ఉన్నవి
tem_02769_02122092311	ఎక్కువమంది స్థానికులు హిందువులు
tem_06359_00366371350	ఋషి సాంప్రదాయాన్ని గురుకులం అని అంటారు
tem_00974_00217262396	ఆ సినిమా బాగా ఆడలేదు
tem_00113_01311359886	ఈ సందర్భంగా భక్తులతో ఆలయం కిటకిటలాడినది
tem_04272_01520470176	ఇదే ఆమె ఆఖరి అత్యున్నత ప్రతిభ
tem_09015_00655726557	నువ్వే మాకు గతివి
tem_06359_00409391074	సత్వగుణము వలన శ్రద్ధ పుడుతుంది
tem_00682_01206526551	సాధారణ వర్షపాతం ఆరు వందలు నాలుగు మీమీ
tem_09015_01821308707	జిల్లా పరిషత్ బాలికల ఉన్నత పాఠశాల నాలుగు
tem_06917_00592310920	కన్యాశుల్కం నాటకం గురజాడ అప్పారావు రాసిన సాంఘిక నాటకం
tem_02769_02138230507	పురోహితునికి సాధారణమైన పేరు వశిష్ఠుడు
tem_06359_01438311068	అది భారతదేశ చరిత్రలో ఒక ప్రధాన ఘట్టము
tem_04272_01832677908	కాంతి గారు తెలుగు వికీపీడియాకు స్వాగతం వికీపీడియాలో సభ్యులైనందుకు అభినందనలు
tem_09015_01364239057	విజయనగర సామ్రాజ్యం చాలా విశాలంగా ఉండేది
tem_09015_01926167729	అచ్చా ప్యారీ బాపురే
tem_09015_00461799540	పాదపద్మములు
tem_02769_01814306683	ఇది బెల్గుడా ఉపవిభాగంలో ఉంది
tem_02812_01546023764	పిన్ కోడ్ అయిదు వందలు ముప్పై నాలుగు నాలుగు వందలు ఇరవై ఆరు
tem_04272_01245718228	ఇది తెలుగులో మొదటి సాంఘిక చిత్రం
tem_02812_00937750784	లీలఓ ఓహొ చారుశీల లేజవరాలా సొగసు భళా వి
tem_02812_00029983641	అది కార్చిచ్చులా ఇప్పుడు రగులుతుంది
tem_04272_00371443344	ఈ ఎర్ర లింకులను నొక్కి కొత్త పేజీలను తయారు చెయ్యవచ్చు కూడా
tem_04272_01280896186	గజల్ అనగా స్త్రీ సంభాషణ స్త్రీల సంభాషణ
tem_00682_00631852062	గానం/సంగీతం మహాభాష్యం చిత్తరంజన్
tem_04771_00931550362	అలాగే కొనసాగండి
tem_09525_01172503208	చదివి అర్ధంచేసుకోలేం\n
tem_08680_01562876081	కానీ నిస్సంశయముగా వారికి సమకాలీనుడు\n
tem_06359_02087295099	ఆత్మను దర్శించిన వాడే మోక్షముకు అర్హుడు
tem_04771_01522125296	దక్షిణం వైపుగా
tem_04771_00960563942	నూట యాభై మీటర్‌లలో
tem_04272_01891865717	ఇస్లామీయ ప్రపంచం లో ఇది ప్రధమ మదరసా
