file_name,transcription,duration
tem_07220_01981175708.wav,దీనిని తటస్థీకరణము అందురు,3.413
tem_06359_01516502961.wav,దీనిని స్కోరుగా అనువదిస్తారు,4.267
tem_02812_01868000938.wav,రెండంతస్తుల భవనాలు పూర్తిగా నీట మునిగాయి,3.669
tem_08680_00300488472.wav,పిన్ కోడ్ అయిదు లక్షలు అయిదు వేలు అయిదు వందలు ముప్పై ఒకటి,4.181
tem_02769_01899577322.wav,ద్రవరూపంలోని మలినాలు తేమ వంటివి,6.997
tem_02812_01823000984.wav,ఆంధ్రప్రదేశ్ రాష్ట్ర మాజీ ముఖ్యమంత్రి నందమూరి తారక రామారావు రెండవ భార్య నందమూరి లక్ష్మీపార్వతి,6.485
tem_04272_00085680040.wav,ఊరిలో గల ముఖ్యమైన దేవాలయాలు వెంకటేశ్వర దేవాలయం మరియూ శివాలయం,8.875
tem_00682_01850053901.wav,ఏమయ్య ఓ సంఘపోల్లు ఎక్కడ చూస్తే ఏమీ లేదు,9.643
tem_02812_01751042579.wav,సావిత్రి కూడా నారదునికి నమస్కరించింది,3.413
tem_02812_00139977145.wav,మేము దాన్ని కెలక్కూడదని ఇలా జరిగిందేమో,3.328
tem_09525_01277785783.wav,మరియు యూరోప్ యాత్ర చేపడతానని చెప్పింది\n,4.011
tem_07220_01099248016.wav,ఇక్కడ బౌద్ధమత సంస్కృతి ఎక్కువగా ఉంది,3.755
tem_07220_00848795094.wav,అంతే కాక ఈ గ్రామంలో రామాలయం కలదు,3.584
tem_05425_00730751448.wav,ఇంకనూ ఏదైనా సందేహం వస్తే ఖచ్చితంగా చర్చా పేజీలో వ్రాయండి,5.973
tem_03338_02137607119.wav,ఇది నమ్మకానికి సంభందించిన సమస్య అంది,3.84
tem_00974_01661176726.wav,అజ్మీర్ పట్టణం జిల్లాకేంద్రంగా ఉంది,4.437
tem_02812_01982547170.wav,మద్రాసు నుండి వెలువడిన పత్రిక,2.731
tem_04272_00428634734.wav,ఈ సినిమాకు మాటలు రాసింది మరో జ్ఞానపీఠ గ్రహీత నారాయణరెడ్డి,5.973
tem_04771_01991432192.wav,పావు మైలులో,2.304
tem_06359_01531983402.wav,పితోర్ ఘర్ నుండి ఇది పది కిలో మీటర్ల దూరం కలదు,6.912
tem_00113_01558669646.wav,అయితే అది సిబ్బంది కొరతను ఎదుర్కొంది,5.035
tem_06359_00517155968.wav,వృషణాలు ఇందుకొ తోడ్పడతాయి,4.267
tem_07220_00483682022.wav,కెసీ మీడియా ప్రధాన ఆకర్షణగా మారారు,4.096
tem_08680_01559756401.wav,అద్బుతం కాకపోయినా ఓకే అనిపిస్తుంది\n,2.816
tem_00974_00280931399.wav,రుచి కూడా వికారం పుట్టిచ్చినట్లుండును,4.011
tem_02769_00296474841.wav,దీంతో ఎవరినీ కలిసేది కాదామె,6.656
tem_07220_00400840482.wav,భారతి మాస సంచిక,2.901
tem_02769_00301408224.wav,నానీ కవితారూపం ఆత్మీయమైంది,7.339
tem_07220_01765851956.wav,అడవిజంతువులతో పాటే సంచరిస్తూ,3.499
tem_05425_01030728048.wav,ఇది కేవలం సారాంశం మాత్రమే పూర్తి పాఠం కోసం లైసెన్సు పాఠం చూడండి,6.656
tem_08377_01929069671.wav,శ్రీ రామ నవమి కథ\n,4.608
tem_02769_01752319773.wav,ఇది నగరానికి పడమటి వైపున ఉంది,6.571
tem_06359_00312043864.wav,సూర్యగ్రహణమునకు సూర్యుని గ్రహించుట,6.315
tem_09222_01106409810.wav,తాను చనిపోయితినా వేశ్యలందును పాలవించెదరు,5.12
tem_09222_00733859292.wav,మధ్యప్రదేశ్ లోని ఒక గ్రామంలో ప్రాథమిక పాఠశాల,4.096
tem_04771_01654641202.wav,నాలుగు వందల అడుగుల్లో,2.987
tem_03338_01483230363.wav,త్రిగర్త దేశాధీసుడు ఉచితముగా చెప్పాడు,4.779
tem_03338_01025904842.wav,శ్యామలను తన ఇంటికి తీసుకెళతాడు,4.949
tem_03338_01470131381.wav,రవితనికెళ్ళ భరణి,2.645
tem_04272_00657356298.wav,మన రాష్ట్రంలో ఇది ఒక్కటే వ్యవసాయ ఇంజనీరింగ్ కళాశాల,7.339
tem_02812_00294653918.wav,అంటే ఏమిటి ఎలా వాడుతారు వాటిలో ప్రత్యేకత కొద్ది ఉదాహరణలు వగైరా,5.888
tem_03338_01941096516.wav,వీటి వయస్సు ముప్పై ఏళ్ళు,3.584
tem_06359_01971913836.wav,వాటిని మీకు చెప్తాను,4.779
tem_04272_01872258983.wav,దీనిని వాడుకలో ఎక్కువగా జైలు అంటారు,6.997
tem_08680_01001425465.wav,విశాఖపట్నం మండలం ఆంధ్ర ప్రదేశ్ రాష్ట్రములోని విశాఖపట్నం జిల్లాకు చెందిన ఒక మండలము\n,5.547
tem_03338_00681547785.wav,గ్రామ విస్తీర్ణం తొమ్మిది వందలు నలభై హెక్టారులు,4.523
tem_02812_00668357133.wav,సీలోనే తరగతినే ప్రథమ స్థానంలో నిలిచారు,3.84
tem_04272_01056506970.wav,అలాగే బొమ్మ లైసెన్సు వివరాలు కూడా తెలుపండి,5.205
tem_08377_00915685977.wav,చిన్నప్పటి నుంచి సంగీతమంటే తనకి ఆసక్తి\n,6.741
tem_09222_00066407673.wav,టెస్టులలో అతని అత్యధిక స్కోరు డెబ్బై మూడు నాటౌట్\n,5.547
tem_05479_00587647738.wav,ఈ గ్రామానికి సరి అయిన రవాణా సౌకర్యాలు లేవు\n,4.181
tem_09525_00669479992.wav,లండన్ వెయ్యి తొమ్మిది వందల అరవై ఒకటి పే,4.437
tem_00682_01800107121.wav,ఆ లక్ష్యంగా రచనా వ్యాసంగాన్ని ఆరంభించారు,8.704
tem_00682_01911958322.wav,సరస్సు మరియు చెరువు తేడా ఏమిటి,6.741
tem_09525_01022436350.wav,హేమవతి జలాశయం రిజర్వాయర్\n,3.157
tem_05479_01360206388.wav,ముందుగా ద్రౌపదికి యోగసమాధి సడలింది\n,4.181
tem_00682_00391156956.wav,అయినా ఏ మాత్రం ప్రతిస్పందన రాలేదు,6.656
tem_07220_01970083157.wav,ధ్వజస్థంభం నీడ ఇళ్ళమీద పడకూడదు,3.499
tem_06359_02095984398.wav,అందులో ఎక్కువమంది ఐర్లండుకు చెందినవారు,5.803
tem_00974_00409700007.wav,చలన చిత్రముల చట్టము,2.731
tem_05425_00692767676.wav,సంస్కృతం హిందూ బౌద్ధ మరియు జైన మతాలకు ప్రధాన భాష,5.973
tem_03338_00187986586.wav,ఇది రెండు వరుసలలో దీపాలను కలిగి ఉంటుంది,4.011
tem_08680_01130710850.wav,నాకు రుచికరంగా వంటలు చేయడం వచ్చు కదా\n,2.901
tem_09015_01138511866.wav,ఆయనకు ఒక సోదరి మరియు ముగ్గురు సోదరులు,4.693
tem_04272_01256402520.wav,పాలకొల్లు పేజీకి వెళ్ళి పైన ఉన్న మార్చు పైన క్లిక్ చేసి సమాచారం చేర్చవచ్చు,7.424
tem_05425_01311719749.wav,ఈరోజు ఈయన మరణ వార్త ఈనాడు లో వచ్చింది,3.755
tem_03338_00343161536.wav,పలు పార్లమెంటరీ కమిటీలలో కూడా పనిచేశాడు,4.267
tem_08680_00321962469.wav,సావిత్రి కూడా నారదునికి నమస్కరించింది\n,3.072
tem_09525_01591815727.wav,వాటి లింకుల కోసం ఏనుగు అయోమయ నివృత్తి చూడండి\n,5.12
tem_00682_01191966987.wav,పంచాయత్ రాజ్ మంత్రిత్వ శాఖ వెబ్‌సైటులో వరంగల్ జిల్లా తాలూకాల వివరాలు,8.96
tem_00974_01149624936.wav,వీటన్నిటి గురించి తరువాత నేర్చుకుందాం,3.925
tem_00682_01394503445.wav,ఆ వ్యాసం పై కృషి చేసిన వారి వివరాలు,7.424
tem_09222_00694270015.wav,పిన్ కోడ్ అయిదు వందల ముప్పై మూడు రెండు వందల అరవై మూడు,6.059
tem_04771_01662532024.wav,వాయువ్యం వైపుగా,2.645
tem_00974_01957484368.wav,పిన్ కోడ్ అయిదు లక్షలు తొమ్మిది వెలు రెండు వందలు రెండు,5.973
tem_08680_00388947726.wav,కావున దీనిని తెల్లమద్ది అంటారు\n,2.731
tem_04272_00124637762.wav,ఊరిలో పరిశ్రమల పరంగా మంచి అభివృద్ది కలదు,7.509
tem_06359_00453049957.wav,ఈ సందర్భంలో ఒక కథ చెప్తాను,4.949
tem_03338_01250167855.wav,అలాంటి సందర్బములొ చేప్పేది ఈ జాతీయము,3.84
tem_07220_01472160283.wav,వీరిలో ప్రసిద్ధుడు ఖారవేలుడు,3.84
tem_05425_00014159320.wav,కన్యాశుల్కం నాటకం గురజాడ అప్పారావు పంతులు రాసిన సాంఘిక నాటకం,5.803
tem_09584_00477354479.wav,అతన్ని తన సహాయకునిగా పెట్టుకున్నారు,5.461
tem_09015_01547518375.wav,పై నుండి సువిశాలమైన ప్రాంతం కనబడుతుంది,4.267
tem_08377_00606030132.wav,రంగుల పట్టిక అయితే పేజీ కూడా అలాగే బాగుంటుంది\n,6.997
tem_02769_00629677581.wav,పర్యాటక ఆకర్షణలలో జాంగ్ జలపాతం ఒకటి,8.448
tem_04771_00583583696.wav,రాంప్‌కు స్వల్పంగా కుడివైపుకు వెళ్ళండి,3.925
tem_04272_01378706052.wav,ఈ గ్రామంలో ఉత్పత్తి చేసిన పళ్ళు కూరగాయలు హైదరాబాదుకు సరఫరా చేస్తారు,7.083
tem_05479_00002904256.wav,ఏమయినా సందేహాలుంటే తప్పక నా చర్చాపేజీలో రాయండి\n,5.205
tem_09222_02083044266.wav,ప్రారంభ రోమన్ సైన్యం,2.475
tem_08680_00619659586.wav,కవిత్వం కూడా రాశారు,2.133
tem_09015_00459612121.wav,తులసి అనే పాప ఒక ఆస్తిపరుని కుమార్తె,3.84
tem_05479_02008461610.wav,ఈయన తల్లితండ్రులు సింగమ మరియు మమనారాయణ\n,7.936
tem_09015_01130549347.wav,బాలవంతి కథలో రాజుకు సంతానం కలగదు,4.779
tem_09222_00453971829.wav,ఇరాన్ పురాతన సంగీతపరికరాలకు పుట్టిల్లు\n,4.693
tem_05479_01443991974.wav,అందువలన ఈ ప్రాంతం కరొండ మండలం అయింది\n,5.12
tem_03338_01987197158.wav,ఈ నిర్ణయం ఇంకా అమలులోకి రాలేదు,3.072
tem_08680_00857310612.wav,వినదగు నెవ్వరు జెప్పిన,2.048
tem_09222_00143696373.wav,ఇదే పేరుతో ఉన్న ఇతర ప్రాంతాల కొరకు వడ్డేపల్లి అయోమయ నివృత్తి చూడండి,6.315
tem_02812_00724719876.wav,నాకు రుచికరంగా వంటలు చేయడం వచ్చు కదా,3.84
tem_08680_00921983494.wav,ఈ ఘటనలు అతన్ని బాగా బాధిస్తాయి\n,3.243
tem_07220_01596808513.wav,నేల సమతలంగా వుండాలి,2.816
tem_09584_00886976974.wav,పిన్ కోడ్ అయిదు లక్షలు ఏడు వేలు మూడు వందలు ఒక,7.083
tem_09015_01103759630.wav,అదిప్పుడు పునరుద్ధరించ బడుతున్నది,4.864
tem_00682_01226756504.wav,మనం వాళ్ళను విడిచి పెట్టి తప్పు చేసాం,7.765
tem_06885_01602510897.wav,ఈ పరిస్థితి తెలుగులోనే కాదు ఇంగ్లీషులో కూడా ఉంది,6.571
tem_00974_00214602362.wav,విజయనగర సామ్రాజ్యం చాలా విశాలంగా ఉండేది,5.035
tem_05479_00809708946.wav,మధ్యధరా ప్రాంతంచే చుట్టి వున్నది\n,3.84
tem_05425_01695255102.wav,కన్నడ కర్ణాటక రాష్ట్ర అధికార భాష,3.328
tem_03338_00957191347.wav,గున పట్టణం జిల్లాకేంద్రంగా ఉంది,2.901
tem_03338_01016186323.wav,పంటలు సరిగా పండవు,2.304
tem_04272_00220587228.wav,విస్తరణ అంటే కేవలం ఆంగ్ల వికీ అనువాదం కాదు,6.059
tem_08680_00260033804.wav,వెలదులార ముదముమీర నలుగిడ రారే బృందంపధ్నాలుగు\n,4.437
tem_00974_01796656293.wav,గీత తన పదవికి రాజీనామా చేస్తుంది,3.243
tem_05479_01671740903.wav,అంతే గాని వారి అసమర్థతను బయట పెట్టరు\n,4.096
tem_02769_01915629255.wav,సాక్షాత్తూ ప్లాటో అన్నాడా మాట,6.741
tem_00974_00059322050.wav,ఆపేరు కాలక్రమంలో మురుడేశ్వర గా మారింది,3.755
tem_09015_02101549671.wav,దారిలో శివుడు తుఫాను తెప్పిస్తాడు,3.755
tem_08680_00723182467.wav,వీటివలనే వ్యాకరణము పుట్టెనని చెప్పుదురు\n,2.901
tem_00974_00646553082.wav,ఆ వార్త విన్న ద్రౌపది వివశురాలవుతుంది,3.925
tem_09222_01967833668.wav,పువ్వులకు సువాసన గలదు,2.987
tem_03338_00453286615.wav,ఇదంతా చూసి విదురుడికి మనసు కలత చెందింది,4.096
tem_00682_01064209001.wav,ఏమిటి ఎందుకు ఎలా అన్న విషయాలకు ప్రాధాన్యత ఇవ్వాలి,9.045
tem_00682_01777869519.wav,గది తలుపు దానికదే మూసుకుంటుంది,7.936
tem_02769_00843676823.wav,ఆ కంపెనీ క్రమంగా అభివృద్ధి చెందింది,7.595
tem_02769_01470972128.wav,ఇఎమ్బిడిలో కోదండరామిరెడ్డి పేజీ,5.888
tem_09015_00662553986.wav,ఆవుది సాత్త్విక స్వభావం,4.352
tem_07220_00701782684.wav,కలికి కోపం వచ్చింది,2.56
tem_06582_00976746616.wav,ప్రముఖ తెలుగు సినీ దర్శకుడు సత్యనారాయణ,6.4
tem_03338_00681341384.wav,కుంతీ దేవి కుమారులతో ఇలా అన్నది,3.499
tem_06885_01088687923.wav,అవన్నీ నాకు తెలుసు,3.84
tem_04272_00740984256.wav,ఈ వూరికి ప్రక్క వూరు జగన్నాధపురంకు మధ్య ఒక కొండమీద నరసింహ స్వామి ఆలయం ఉంది,11.008
