file_name,duration,transcription
63_639file-idbU4bWLbaKYA.wav,1.26,స్పీకింగ్
2_32_639file-idbU4bWLbaKYA.wav,1.2,కనిపిస్తుంది
20_639file-idbU4bWLbaKYA.wav,1.02,పోయింది
27_639file-idbU4bWLbaKYA.wav,8.76,పేసర్లు  రోజు ట్రై చేస్తున్నా సరే
1_1_639file-idbU4bWLbaKYA.wav,1.4100000000000001,బాబీ
64_639file-idbU4bWLbaKYA.wav,0.81,అక్కడ
55_639file-idbU4bWLbaKYA.wav,12.39,మేము పెళ్లి చేయండి అవి  కూడా  అలాంటివి
4_639file-idbU4bWLbaKYA.wav,14.01,హ్యాపీగా
36_639file-idbU4bWLbaKYA.wav,1.2,ఫోన్ చేస్తాను మీకు
19_1364file-idodHXT5pppTo.wav,9.66,ఈ ప్రోగ్రాం ఏంటి
132_1364file-idodHXT5pppTo.wav,1.35,అలాగే ఉండిపోయింది
124_1364file-idodHXT5pppTo.wav,12.81,కొంతమంది చెప్పుకుంటారు కొంతమంది చెప్పలేకపోయారు కానీ ఇప్పటినుండి   చెప్పారు  చెప్పారు
93_1364file-idodHXT5pppTo.wav,9.06,నేను చేశాను   ఫ్రమ్ బ్యాంకులు మిమ్మల్ని టర్న్ చేయడానికి నేనైతే చాలా చాలా చాలా  గా ఉన్నాను మీరు కూడా అంతగా ఉన్నాను అనుకుంటున్నాను
92_1364file-idodHXT5pppTo.wav,11.46,అది ఇవాళ  ఫస్ట్ షో  గుడ్ మార్నింగ్ హైదరాబాద్  లో నమస్తే సవాలు మీరు వింటున్నారు     గీత
49_1364file-idodHXT5pppTo.wav,9.6,నేను ప్లాన్ చేస్తాను
47_1364file-idodHXT5pppTo.wav,1.05,చెప్పు
2_70_1364file-idodHXT5pppTo.wav,6.84,గంటా పైసలు రాకపోవ మార్చి మీ ఇంటికి పంపిస్తాం
5_0_224file-idNEwLP-KKjAk.wav,2.7,అమ్మ ఊర్లో లేనప్పుడు నేను  చేసుకున్నాను
1_0_224file-idNEwLP-KKjAk.wav,12.9,క్వాలిటీ    విషయం పట్టించుకోకుండా దాన్ని    ఫీలవుతూ ఉంటాం నమస్కారం నా పేరు అవినాష్ మీరు ఉంటుంది డాబా కథలు ఫస్ట్ అందరికీ    అనుకున్న తీసుకోండి
5_0_428file-idUhz_izeNALo.wav,1.62,మరి ఎలా  అర్థం కాలేదు
70_428file-idUhz_izeNALo.wav,2.64,నేటి మన ప్రసారం ఇంతటితో సమర్థ
69_428file-idUhz_izeNALo.wav,4.59,ఇప్పటిదాకా మీరు విన్నది మహాభారత ట్వంటీ ట్వంటీ సాయికిరణ్
64_428file-idUhz_izeNALo.wav,1.74,మరో విషయం ఏంటంటే
5_428file-idUhz_izeNALo.wav,5.91,కానీ దుందుడుకు స్వభావం కలిగిన చిత్రాంగదుడు ఒక అందరితో యుద్ధం చేసి మరణించాడు
29_428file-idUhz_izeNALo.wav,4.02,అక్కడి నుండి వెళ్లి  శివుని గురించి తప్పు చేయడం ప్రారంభించింది
66_428file-idUhz_izeNALo.wav,4.86,మరెవరైనా మిగిలిన వారికి తక్కువ కాదు ప్రయత్నిస్తే చివరికి సాధించవచ్చు
62_428file-idUhz_izeNALo.wav,5.55,దాన్ని సాధించడం వంటి స్త్రీని పతనానికి కారణమైంది
58_428file-idUhz_izeNALo.wav,4.38,బలవంతంగా ఏ పనిచేసినా తరువాత పరిణామాలు దారుణంగా ఉంటాయి
12_428file-idUhz_izeNALo.wav,2.04,మహావీరుడైన భీష్ముని
