Token will not been saved to git credential helper. Pass `add_to_git_credential=True` if you want to set the git credential as well.
Token is valid.
Your token has been saved to /raid/cs20mds14030/.huggingface/token
Login successful
Avaialble datasets --> ['indic_superb/clean_train', 'indic_superb/clean_valid', 'indic_superb/clean_test_known', 'indic_superb/clean_test_unknown', 'ulca/Chai_Bisket_Stories_16-08-2021_14-17', 'ulca/Telangana_Sahitya_Akademi_16-08-2021_14-40', 'open_slr/te_in_female', 'open_slr/te_in_male']
##### Loading the datasets #####
indic_superb/clean_train
Dataset({
    features: ['file_name', 'transcription', 'duration'],
    num_rows: 70692
})
Dataset({
    features: ['file_name', 'transcription', 'duration'],
    num_rows: 73071
})
Dataset({
    features: ['file_name', 'transcription', 'duration'],
    num_rows: 75481
})
Dataset({
    features: ['file_name', 'transcription', 'duration'],
    num_rows: 76973
})
Dataset({
    features: ['file_name', 'transcription', 'duration'],
    num_rows: 77558
})
Dataset({
    features: ['file_name', 'transcription', 'duration'],
    num_rows: 77734
})
Dataset({
    features: ['file_name', 'transcription', 'duration'],
    num_rows: 80028
})
Dataset({
    features: ['file_name', 'transcription', 'duration'],
    num_rows: 82182
})
##### Successfully loaded the datasets #####
{'The dataset has 82182 rows worth 162 hours of data'}
DatasetDict({
    train: Dataset({
        features: ['audio', 'transcription', 'duration'],
        num_rows: 73963
    })
    test: Dataset({
        features: ['audio', 'transcription', 'duration'],
        num_rows: 8219
    })
})
Performed train test split
Training Dataset Details
Dataset({
    features: ['audio', 'transcription', 'duration'],
    num_rows: 73963
})
73963 samples --> 146 hours of data


Testing Dataset Details
Dataset({
    features: ['audio', 'transcription', 'duration'],
    num_rows: 8219
})
8219 samples --> 146 hours of data
model_output_dir --> ./whisper-small-te-146h
####### Loaded WhisperFeatureExtractor, WhisperTokenizer and WhisperProcessor successfully #########
###### Preparing dataset started ########
####### Preparing dataset completed ########
####### Loaded the Pre-Trained Checkpoint ########
####### Defined the Training Configuration #########
######## Finetuning Started #########
{'loss': 2.0315, 'learning_rate': 8e-08, 'epoch': 0.01}
{'loss': 2.0106, 'learning_rate': 1.6333333333333334e-07, 'epoch': 0.01}
{'loss': 1.9116, 'learning_rate': 2.466666666666667e-07, 'epoch': 0.02}
{'loss': 1.7872, 'learning_rate': 3.3e-07, 'epoch': 0.02}
{'loss': 1.7033, 'learning_rate': 4.133333333333334e-07, 'epoch': 0.03}
{'loss': 1.611, 'learning_rate': 4.966666666666666e-07, 'epoch': 0.03}
{'loss': 1.5344, 'learning_rate': 5.800000000000001e-07, 'epoch': 0.04}
{'loss': 1.4597, 'learning_rate': 6.633333333333334e-07, 'epoch': 0.04}
{'loss': 1.351, 'learning_rate': 7.466666666666668e-07, 'epoch': 0.05}
{'loss': 1.1379, 'learning_rate': 8.300000000000001e-07, 'epoch': 0.05}
{'loss': 0.9552, 'learning_rate': 9.133333333333334e-07, 'epoch': 0.06}
{'loss': 0.8032, 'learning_rate': 9.966666666666667e-07, 'epoch': 0.06}
{'loss': 0.7003, 'learning_rate': 1.08e-06, 'epoch': 0.07}
{'loss': 0.6029, 'learning_rate': 1.1633333333333333e-06, 'epoch': 0.08}
{'loss': 0.5559, 'learning_rate': 1.2466666666666667e-06, 'epoch': 0.08}
{'loss': 0.5142, 'learning_rate': 1.3300000000000002e-06, 'epoch': 0.09}
{'loss': 0.4728, 'learning_rate': 1.4133333333333335e-06, 'epoch': 0.09}
{'loss': 0.4577, 'learning_rate': 1.4966666666666668e-06, 'epoch': 0.1}
{'loss': 0.4296, 'learning_rate': 1.5800000000000001e-06, 'epoch': 0.1}
{'loss': 0.414, 'learning_rate': 1.6633333333333334e-06, 'epoch': 0.11}
{'loss': 0.3909, 'learning_rate': 1.7466666666666667e-06, 'epoch': 0.11}
{'loss': 0.384, 'learning_rate': 1.83e-06, 'epoch': 0.12}
{'loss': 0.3717, 'learning_rate': 1.9133333333333334e-06, 'epoch': 0.12}
{'loss': 0.3539, 'learning_rate': 1.996666666666667e-06, 'epoch': 0.13}
{'loss': 0.3257, 'learning_rate': 2.08e-06, 'epoch': 0.14}
{'loss': 0.3423, 'learning_rate': 2.1633333333333335e-06, 'epoch': 0.14}
{'loss': 0.3302, 'learning_rate': 2.2466666666666666e-06, 'epoch': 0.15}
{'loss': 0.3042, 'learning_rate': 2.33e-06, 'epoch': 0.15}
{'loss': 0.3089, 'learning_rate': 2.4133333333333337e-06, 'epoch': 0.16}
{'loss': 0.3055, 'learning_rate': 2.4966666666666668e-06, 'epoch': 0.16}
{'loss': 0.2988, 'learning_rate': 2.5800000000000003e-06, 'epoch': 0.17}
{'loss': 0.2927, 'learning_rate': 2.6633333333333334e-06, 'epoch': 0.17}
{'loss': 0.2785, 'learning_rate': 2.746666666666667e-06, 'epoch': 0.18}
{'loss': 0.2662, 'learning_rate': 2.83e-06, 'epoch': 0.18}
{'loss': 0.2584, 'learning_rate': 2.9133333333333335e-06, 'epoch': 0.19}
{'loss': 0.239, 'learning_rate': 2.996666666666667e-06, 'epoch': 0.19}
{'loss': 0.2208, 'learning_rate': 3.08e-06, 'epoch': 0.2}
{'loss': 0.2184, 'learning_rate': 3.1633333333333337e-06, 'epoch': 0.21}
{'loss': 0.2258, 'learning_rate': 3.2466666666666668e-06, 'epoch': 0.21}
{'loss': 0.2142, 'learning_rate': 3.3300000000000003e-06, 'epoch': 0.22}
{'loss': 0.2111, 'learning_rate': 3.4133333333333334e-06, 'epoch': 0.22}
{'loss': 0.2138, 'learning_rate': 3.496666666666667e-06, 'epoch': 0.23}
{'loss': 0.2023, 'learning_rate': 3.58e-06, 'epoch': 0.23}
{'loss': 0.2049, 'learning_rate': 3.6633333333333336e-06, 'epoch': 0.24}
{'loss': 0.1994, 'learning_rate': 3.7466666666666667e-06, 'epoch': 0.24}
{'loss': 0.1955, 'learning_rate': 3.830000000000001e-06, 'epoch': 0.25}
{'loss': 0.1921, 'learning_rate': 3.913333333333334e-06, 'epoch': 0.25}
{'loss': 0.1989, 'learning_rate': 3.996666666666667e-06, 'epoch': 0.26}
{'loss': 0.1895, 'learning_rate': 4.08e-06, 'epoch': 0.26}
{'loss': 0.1997, 'learning_rate': 4.163333333333334e-06, 'epoch': 0.27}
{'loss': 0.1857, 'learning_rate': 4.246666666666667e-06, 'epoch': 0.28}
{'loss': 0.1927, 'learning_rate': 4.33e-06, 'epoch': 0.28}
{'loss': 0.181, 'learning_rate': 4.413333333333334e-06, 'epoch': 0.29}
{'loss': 0.1854, 'learning_rate': 4.496666666666667e-06, 'epoch': 0.29}
{'loss': 0.1732, 'learning_rate': 4.58e-06, 'epoch': 0.3}
{'loss': 0.1768, 'learning_rate': 4.663333333333333e-06, 'epoch': 0.3}
{'loss': 0.1762, 'learning_rate': 4.746666666666667e-06, 'epoch': 0.31}
{'loss': 0.1828, 'learning_rate': 4.83e-06, 'epoch': 0.31}
{'loss': 0.1641, 'learning_rate': 4.9133333333333334e-06, 'epoch': 0.32}
{'loss': 0.1708, 'learning_rate': 4.9966666666666665e-06, 'epoch': 0.32}
{'loss': 0.1682, 'learning_rate': 5.0800000000000005e-06, 'epoch': 0.33}
{'loss': 0.1653, 'learning_rate': 5.163333333333334e-06, 'epoch': 0.34}
{'loss': 0.159, 'learning_rate': 5.246666666666667e-06, 'epoch': 0.34}
{'loss': 0.1637, 'learning_rate': 5.330000000000001e-06, 'epoch': 0.35}
{'loss': 0.1626, 'learning_rate': 5.413333333333334e-06, 'epoch': 0.35}
{'loss': 0.1647, 'learning_rate': 5.496666666666667e-06, 'epoch': 0.36}
{'loss': 0.1681, 'learning_rate': 5.580000000000001e-06, 'epoch': 0.36}
{'loss': 0.17, 'learning_rate': 5.663333333333334e-06, 'epoch': 0.37}
{'loss': 0.1523, 'learning_rate': 5.746666666666667e-06, 'epoch': 0.37}
{'loss': 0.1621, 'learning_rate': 5.83e-06, 'epoch': 0.38}
{'loss': 0.154, 'learning_rate': 5.913333333333334e-06, 'epoch': 0.38}
{'loss': 0.1535, 'learning_rate': 5.996666666666667e-06, 'epoch': 0.39}
{'loss': 0.1589, 'learning_rate': 6.08e-06, 'epoch': 0.39}
{'loss': 0.1465, 'learning_rate': 6.163333333333333e-06, 'epoch': 0.4}
{'loss': 0.1505, 'learning_rate': 6.246666666666667e-06, 'epoch': 0.41}
{'loss': 0.1501, 'learning_rate': 6.33e-06, 'epoch': 0.41}
{'loss': 0.1569, 'learning_rate': 6.4133333333333335e-06, 'epoch': 0.42}
{'loss': 0.146, 'learning_rate': 6.496666666666667e-06, 'epoch': 0.42}
{'loss': 0.1502, 'learning_rate': 6.5800000000000005e-06, 'epoch': 0.43}
{'loss': 0.1429, 'learning_rate': 6.663333333333334e-06, 'epoch': 0.43}
{'loss': 0.1423, 'learning_rate': 6.746666666666667e-06, 'epoch': 0.44}
{'loss': 0.1429, 'learning_rate': 6.830000000000001e-06, 'epoch': 0.44}
{'loss': 0.1417, 'learning_rate': 6.913333333333334e-06, 'epoch': 0.45}
{'loss': 0.1427, 'learning_rate': 6.996666666666667e-06, 'epoch': 0.45}
{'loss': 0.1395, 'learning_rate': 7.08e-06, 'epoch': 0.46}
{'loss': 0.1401, 'learning_rate': 7.163333333333335e-06, 'epoch': 0.47}
{'loss': 0.1489, 'learning_rate': 7.246666666666667e-06, 'epoch': 0.47}
{'loss': 0.1455, 'learning_rate': 7.33e-06, 'epoch': 0.48}
{'loss': 0.1464, 'learning_rate': 7.413333333333333e-06, 'epoch': 0.48}
{'loss': 0.1502, 'learning_rate': 7.496666666666668e-06, 'epoch': 0.49}
{'loss': 0.1436, 'learning_rate': 7.58e-06, 'epoch': 0.49}
{'loss': 0.1404, 'learning_rate': 7.663333333333333e-06, 'epoch': 0.5}
{'loss': 0.137, 'learning_rate': 7.746666666666666e-06, 'epoch': 0.5}
{'loss': 0.1395, 'learning_rate': 7.830000000000001e-06, 'epoch': 0.51}
{'loss': 0.1311, 'learning_rate': 7.913333333333334e-06, 'epoch': 0.51}
{'loss': 0.1321, 'learning_rate': 7.996666666666667e-06, 'epoch': 0.52}
{'loss': 0.1297, 'learning_rate': 8.08e-06, 'epoch': 0.52}
{'loss': 0.1282, 'learning_rate': 8.163333333333334e-06, 'epoch': 0.53}
{'loss': 0.1319, 'learning_rate': 8.246666666666667e-06, 'epoch': 0.54}
{'loss': 0.1329, 'learning_rate': 8.33e-06, 'epoch': 0.54}
{'loss': 0.132, 'learning_rate': 8.413333333333335e-06, 'epoch': 0.55}
{'loss': 0.1294, 'learning_rate': 8.496666666666668e-06, 'epoch': 0.55}
{'loss': 0.1273, 'learning_rate': 8.580000000000001e-06, 'epoch': 0.56}
{'loss': 0.1208, 'learning_rate': 8.663333333333334e-06, 'epoch': 0.56}
{'loss': 0.1318, 'learning_rate': 8.746666666666667e-06, 'epoch': 0.57}
{'loss': 0.1294, 'learning_rate': 8.83e-06, 'epoch': 0.57}
{'loss': 0.1261, 'learning_rate': 8.913333333333333e-06, 'epoch': 0.58}
{'loss': 0.1172, 'learning_rate': 8.996666666666666e-06, 'epoch': 0.58}
{'loss': 0.1265, 'learning_rate': 9.080000000000001e-06, 'epoch': 0.59}
{'loss': 0.1211, 'learning_rate': 9.163333333333334e-06, 'epoch': 0.59}
{'loss': 0.1224, 'learning_rate': 9.246666666666667e-06, 'epoch': 0.6}
{'loss': 0.1204, 'learning_rate': 9.33e-06, 'epoch': 0.61}
{'loss': 0.126, 'learning_rate': 9.413333333333334e-06, 'epoch': 0.61}
{'loss': 0.1287, 'learning_rate': 9.496666666666667e-06, 'epoch': 0.62}
{'loss': 0.1211, 'learning_rate': 9.58e-06, 'epoch': 0.62}
{'loss': 0.1239, 'learning_rate': 9.663333333333335e-06, 'epoch': 0.63}
{'loss': 0.1217, 'learning_rate': 9.746666666666668e-06, 'epoch': 0.63}
{'loss': 0.1268, 'learning_rate': 9.83e-06, 'epoch': 0.64}
{'loss': 0.1199, 'learning_rate': 9.913333333333334e-06, 'epoch': 0.64}
{'loss': 0.1248, 'learning_rate': 9.996666666666669e-06, 'epoch': 0.65}
{'loss': 0.121, 'learning_rate': 9.965714285714286e-06, 'epoch': 0.65}
{'loss': 0.1195, 'learning_rate': 9.930000000000001e-06, 'epoch': 0.66}
{'loss': 0.1204, 'learning_rate': 9.894285714285715e-06, 'epoch': 0.67}
{'loss': 0.1224, 'learning_rate': 9.858571428571429e-06, 'epoch': 0.67}
{'loss': 0.1132, 'learning_rate': 9.822857142857144e-06, 'epoch': 0.68}
{'loss': 0.1128, 'learning_rate': 9.787142857142858e-06, 'epoch': 0.68}
{'loss': 0.1096, 'learning_rate': 9.751428571428571e-06, 'epoch': 0.69}
{'loss': 0.1158, 'learning_rate': 9.715714285714287e-06, 'epoch': 0.69}
{'loss': 0.1178, 'learning_rate': 9.68e-06, 'epoch': 0.7}
{'loss': 0.1084, 'learning_rate': 9.644285714285714e-06, 'epoch': 0.7}
{'loss': 0.1162, 'learning_rate': 9.60857142857143e-06, 'epoch': 0.71}
{'loss': 0.1067, 'learning_rate': 9.572857142857143e-06, 'epoch': 0.71}
{'loss': 0.1247, 'learning_rate': 9.537142857142859e-06, 'epoch': 0.72}
{'loss': 0.1108, 'learning_rate': 9.501428571428572e-06, 'epoch': 0.72}
{'loss': 0.1158, 'learning_rate': 9.465714285714288e-06, 'epoch': 0.73}
{'loss': 0.113, 'learning_rate': 9.43e-06, 'epoch': 0.74}
{'loss': 0.1078, 'learning_rate': 9.394285714285715e-06, 'epoch': 0.74}
{'loss': 0.1073, 'learning_rate': 9.358571428571429e-06, 'epoch': 0.75}
{'loss': 0.1123, 'learning_rate': 9.322857142857144e-06, 'epoch': 0.75}
{'loss': 0.1134, 'learning_rate': 9.287142857142858e-06, 'epoch': 0.76}
{'loss': 0.1076, 'learning_rate': 9.251428571428573e-06, 'epoch': 0.76}
{'loss': 0.1075, 'learning_rate': 9.215714285714287e-06, 'epoch': 0.77}
{'loss': 0.1098, 'learning_rate': 9.180000000000002e-06, 'epoch': 0.77}
{'loss': 0.1081, 'learning_rate': 9.144285714285716e-06, 'epoch': 0.78}
{'loss': 0.1071, 'learning_rate': 9.10857142857143e-06, 'epoch': 0.78}
{'loss': 0.1165, 'learning_rate': 9.072857142857143e-06, 'epoch': 0.79}
{'loss': 0.1073, 'learning_rate': 9.037142857142858e-06, 'epoch': 0.79}
{'loss': 0.1036, 'learning_rate': 9.001428571428572e-06, 'epoch': 0.8}
{'loss': 0.102, 'learning_rate': 8.965714285714287e-06, 'epoch': 0.81}
{'loss': 0.1068, 'learning_rate': 8.930000000000001e-06, 'epoch': 0.81}
{'loss': 0.1062, 'learning_rate': 8.894285714285715e-06, 'epoch': 0.82}
{'loss': 0.1047, 'learning_rate': 8.85857142857143e-06, 'epoch': 0.82}
{'loss': 0.1059, 'learning_rate': 8.822857142857144e-06, 'epoch': 0.83}
{'loss': 0.1079, 'learning_rate': 8.787142857142857e-06, 'epoch': 0.83}
{'loss': 0.1012, 'learning_rate': 8.751428571428573e-06, 'epoch': 0.84}
{'loss': 0.1051, 'learning_rate': 8.715714285714286e-06, 'epoch': 0.84}
{'loss': 0.1082, 'learning_rate': 8.68e-06, 'epoch': 0.85}
{'loss': 0.1011, 'learning_rate': 8.644285714285715e-06, 'epoch': 0.85}
{'loss': 0.1048, 'learning_rate': 8.608571428571429e-06, 'epoch': 0.86}
